net,length_um
term_mid\[25\],28.03µm
term_mid\[46\],28.01µm
_0280_,27.74µm
p_hl\[5\],27.61µm
net357,27.6µm
_0416_,27.36µm
_0249_,27.3µm
_0342_,27.26µm
_0129_,27.135µm
_0155_,27.125µm
_0165_,27.12µm
_0313_,27.04µm
term_low\[4\],26.95µm
_0064_,26.885µm
term_low\[16\],26.79µm
term_low\[17\],26.75µm
p_hh_pipe\[14\],26.68µm
_0140_,26.66µm
_0211_,26.66µm
term_high\[41\],26.61µm
_0420_,26.54µm
_0349_,26.46µm
_0228_,26.36µm
p_hh_pipe\[15\],26.36µm
net318,26.34µm
p_hh_pipe\[24\],26.26µm
_0406_,26.06µm
_0361_,26.04µm
term_mid\[40\],25.99µm
_0350_,25.98µm
_0114_,25.975µm
term_low\[6\],25.93µm
p_hh_pipe\[9\],25.86µm
term_mid\[21\],25.73µm
term_high\[34\],25.53µm
p_hh_pipe\[10\],25.38µm
p_ll_pipe\[31\],25.38µm
_0407_,25.22µm
term_high\[32\],25.15µm
_0388_,25.14µm
_0075_,24.885µm
p_hh\[5\],24.85µm
net360,24.82µm
_0152_,24.785µm
term_low\[19\],24.71µm
term_high\[36\],24.57µm
_0346_,24.5µm
_0132_,24.42µm
_0321_,24.3µm
p_hh_pipe\[11\],24.08µm
p_hh_pipe\[13\],24.08µm
p_ll_pipe\[7\],24.04µm
term_high\[38\],23.99µm
term_high\[35\],23.95µm
_0192_,23.925µm
_0235_,23.92µm
term_high\[39\],23.89µm
_0168_,23.865µm
_0362_,23.78µm
term_low\[15\],23.76µm
_0327_,23.61µm
_0319_,23.6µm
term_high\[59\],23.6µm
_0265_,23.56µm
mid_sum\[10\],23.56µm
p_hh_pipe\[31\],23.52µm
_0385_,23.4µm
net372,23.38µm
term_mid\[39\],23.31µm
p_hh_pipe\[26\],23.06µm
term_mid\[22\],22.77µm
_0400_,22.66µm
p_hh\[27\],22.65µm
term_mid\[32\],22.59µm
term_low\[8\],22.53µm
_0409_,22.48µm
net309,22.46µm
net363,22.4µm
_0067_,22.32µm
_0083_,22.285µm
term_mid\[27\],22.25µm
net340,22.08µm
_0069_,22.02µm
term_low\[18\],21.87µm
term_mid\[31\],21.85µm
p_hh_pipe\[21\],21.74µm
_0065_,21.715µm
_0071_,21.705µm
p_hh_pipe\[20\],21.66µm
term_mid\[20\],21.65µm
net138,21.58µm
term_mid\[29\],21.51µm
_0210_,21.42µm
_0230_,21.21µm
_0302_,21.18µm
_0378_,21.18µm
_0423_,21.02µm
_0268_,20.95µm
_0299_,20.88µm
term_mid\[35\],20.87µm
net362,20.86µm
_0214_,20.82µm
net315,20.82µm
net302,20.7µm
_0421_,20.44µm
mid_sum\[24\],20.44µm
_0225_,20.42µm
p_ll_pipe\[12\],20.38µm
term_low\[10\],20.38µm
net313,20.28µm
_0231_,20.12µm
_0263_,20µm
p_ll_pipe\[8\],19.98µm
term_mid\[18\],19.95µm
p_ll_pipe\[1\],19.94µm
_0386_,19.86µm
p_ll_pipe\[30\],19.86µm
term_mid\[17\],19.81µm
term_mid\[38\],19.81µm
p_ll_pipe\[15\],19.8µm
_0310_,19.74µm
_0068_,19.735µm
_0154_,19.705µm
_0135_,19.685µm
term_mid\[47\],19.67µm
_0404_,19.62µm
_0328_,19.4µm
