net,length_um
_0714_,35.72µm
_0188_,35.7µm
_0927_,35.67µm
_0992_,35.66µm
_0724_,35.64µm
_0742_,35.62µm
_0405_,35.6µm
_0652_,35.46µm
_1846_,35.44µm
_2489_,35.4µm
_1342_,35.38µm
_1832_,35.24µm
_1408_,35.2µm
_2188_,35.11µm
_2194_,35.1µm
net25,35.08µm
_0447_,35µm
_1407_,34.965µm
_1047_,34.94µm
_2420_,34.92µm
_1830_,34.74µm
_0819_,34.675µm
_0602_,34.62µm
_0209_,34.48µm
_0638_,34.4µm
_1960_,34.36µm
_0983_,34.34µm
_2042_,34.34µm
_0841_,34.32µm
_1111_,34.3µm
_1035_,34.24µm
_0178_,34.18µm
_0190_,34.14µm
_0470_,34.07µm
_1938_,33.92µm
_0978_,33.9µm
_2405_,33.9µm
_1828_,33.86µm
_0307_,33.84µm
_0623_,33.84µm
_1515_,33.82µm
_0169_,33.8µm
_0926_,33.8µm
_1478_,33.8µm
_0445_,33.79µm
_0317_,33.72µm
_0541_,33.72µm
_1306_,33.72µm
_1513_,33.72µm
_0793_,33.7µm
_0320_,33.66µm
_2246_,33.64µm
net304,33.62µm
_2233_,33.52µm
_0945_,33.32µm
_1993_,33.28µm
_0326_,33.26µm
_0970_,33.22µm
_1584_,33.18µm
_0164_,33.14µm
_1540_,33.14µm
_0397_,33.1µm
_1787_,33.06µm
_0827_,32.94µm
_2469_,32.88µm
_1048_,32.8µm
_0886_,32.77µm
_1512_,32.74µm
_0078_,32.7µm
_1433_,32.7µm
net320,32.68µm
_1079_,32.62µm
_0946_,32.6µm
_1385_,32.6µm
_0717_,32.58µm
_0818_,32.58µm
_2012_,32.58µm
_2272_,32.56µm
_1045_,32.54µm
_0101_,32.52µm
_0375_,32.52µm
_1318_,32.5µm
_2336_,32.4µm
_0229_,32.37µm
_0525_,32.34µm
_1038_,32.32µm
_0116_,32.28µm
_0160_,32.18µm
_0620_,32.18µm
_1518_,32.04µm
_2367_,32.03µm
_0227_,31.96µm
_1836_,31.96µm
_0800_,31.92µm
_0270_,31.9µm
_0374_,31.88µm
_1872_,31.86µm
_2115_,31.86µm
_0700_,31.72µm
_2304_,31.52µm
_0961_,31.48µm
_1062_,31.48µm
_2197_,31.46µm
_0854_,31.39µm
_1285_,31.39µm
_0670_,31.34µm
_0681_,31.3µm
_0512_,31.24µm
_1338_,31.24µm
_0339_,31.22µm
_0558_,31.18µm
_0679_,31.155µm
_0722_,31.12µm
_0734_,31.06µm
_2345_,31.04µm
_1614_,31.01µm
_1451_,31µm
_2100_,30.98µm
_0365_,30.87µm
_1917_,30.86µm
_0791_,30.82µm
_0430_,30.78µm
_0901_,30.78µm
_1335_,30.77µm
_0473_,30.6µm
_2250_,30.6µm
_0264_,30.58µm
_0951_,30.56µm
_0302_,30.54µm
_1798_,30.54µm
_0491_,30.5µm
_1790_,30.42µm
_1393_,30.4µm
_1441_,30.4µm
_1838_,30.4µm
_2338_,30.4µm
_0035_,30.38µm
_1430_,30.38µm
_2059_,30.38µm
_2427_,30.32µm
_1040_,30.31µm
_2301_,30.28µm
_0139_,30.08µm
in1[14],30.07µm
_0567_,30µm
_0940_,29.96µm
_1299_,29.94µm
_1203_,29.92µm
_2241_,29.88µm
_1950_,29.86µm
_1209_,29.74µm
_1175_,29.72µm
_1290_,29.64µm
_2003_,29.64µm
_0692_,29.6µm
_1837_,29.535µm
_2320_,29.5µm
_1639_,29.46µm
_2045_,29.46µm
_1431_,29.44µm
_1319_,29.41µm
_0611_,29.3µm
_1366_,29.29µm
_2406_,29.28µm
_0852_,29.26µm
_0478_,29.24µm
_1536_,29.2µm
_0776_,29.18µm
_0492_,29.14µm
_1519_,29.14µm
_1821_,29.14µm
_0037_,29.125µm
_0305_,29.12µm
_2408_,29.02µm
_2442_,29µm
_0947_,28.98µm
_2290_,28.98µm
_1008_,28.96µm
_2341_,28.96µm
_0581_,28.92µm
_0704_,28.92µm
_0837_,28.86µm
_0882_,28.76µm
