net,length_um
_0344_,11.7µm
_0892_,11.7µm
_0538_,11.66µm
in2[18],11.61µm
_0286_,11.58µm
_0544_,11.58µm
_0618_,11.58µm
in1[58],11.575µm
net54,11.52µm
_0703_,11.5µm
_0214_,11.46µm
_0533_,11.46µm
net51,11.44µm
_0223_,11.4µm
in1[4],11.37µm
in3[56],11.36µm
_0515_,11.34µm
_0606_,11.295µm
net140,11.26µm
_0083_,11.22µm
_0872_,11.22µm
in1[54],11.22µm
in3[13],11.22µm
in3[32],11.21µm
_0629_,11.18µm
_0341_,11.16µm
_0752_,11.16µm
_0813_,11.16µm
_0380_,11.12µm
_0575_,11.12µm
_0858_,11.04µm
_0024_,10.985µm
_0590_,10.96µm
_0115_,10.92µm
_0191_,10.9µm
_0173_,10.89µm
_0870_,10.83µm
_0347_,10.78µm
_0530_,10.78µm
in1[53],10.76µm
in2[39],10.71µm
_0370_,10.7µm
_0954_,10.7µm
in3[57],10.655µm
_0195_,10.58µm
_0740_,10.58µm
in1[17],10.57µm
_0122_,10.56µm
_0771_,10.56µm
in1[3],10.55µm
_0835_,10.54µm
_0889_,10.54µm
_0003_,10.535µm
_0416_,10.46µm
in2[49],10.45µm
_0348_,10.44µm
_0353_,10.44µm
in2[53],10.44µm
in2[58],10.44µm
_0178_,10.38µm
_0150_,10.36µm
_0194_,10.36µm
in2[46],10.35µm
_0678_,10.34µm
_0409_,10.32µm
_0625_,10.3µm
_0019_,10.295µm
_0461_,10.28µm
_0462_,10.28µm
_0767_,10.28µm
_0035_,10.245µm
_0162_,10.24µm
in1[0],10.23µm
_0407_,10.22µm
_0802_,10.16µm
_0287_,10.12µm
_0612_,10.12µm
in3[47],10.11µm
_0677_,10.08µm
_0182_,10.04µm
in2[31],10.02µm
_0786_,9.99µm
in3[38],9.99µm
in1[57],9.98µm
in3[53],9.98µm
in3[63],9.97µm
_0970_,9.96µm
_0159_,9.94µm
_0662_,9.94µm
_0742_,9.9µm
net181,9.9µm
in2[23],9.89µm
in3[20],9.87µm
_0311_,9.86µm
_0328_,9.86µm
_0688_,9.84µm
_0921_,9.84µm
in1[50],9.83µm
in2[17],9.83µm
_0427_,9.82µm
_0464_,9.78µm
_0502_,9.77µm
in1[45],9.75µm
_0345_,9.74µm
_0524_,9.72µm
_0399_,9.7µm
_0724_,9.7µm
_0163_,9.68µm
_0525_,9.68µm
_0891_,9.68µm
in2[1],9.67µm
in2[29],9.67µm
_0545_,9.66µm
in1[26],9.65µm
in1[7],9.64µm
in2[11],9.64µm
in2[7],9.64µm
in3[11],9.64µm
_0681_,9.62µm
_0967_,9.62µm
_0070_,9.6µm
_0378_,9.6µm
_0728_,9.54µm
_0799_,9.54µm
_0175_,9.53µm
in3[17],9.53µm
in3[46],9.53µm
_0712_,9.52µm
in1[44],9.52µm
in2[44],9.52µm
_0914_,9.5µm
_0160_,9.48µm
_0300_,9.44µm
net211,9.42µm
net230,9.42µm
net231,9.42µm
out[21],9.41µm
